Schedule_number,Blue_Interval,Yellow_Interval,Blue_Pun_Interval,Yellow_Pun_Interval,Blue_Ratio,Yellow_Ratio,Blue_Pun_Ratio,Yellow_Pun_Ratio,Blue_Random_Interval,Yellow_Random_Interval,Blue_Pun_Random_Interval,Yellow_Pun_Random_Interval,Blue_Random_Ratio,Yellow_Random_Ratio,Blue_Pun_Random_Ratio,Yellow_Pun_Random_Ratio,Blue_FH,Yellow_FH,Blue_Pun_FH,Yellow_Pun_FH,Blue_FH_Intervals,Yellow_FH_Intervals,Blue_Pun_FH_Intervals,Yellow_Pun_FH_Intervals,Blue_FH_Type,Yellow_FH_Type,Blue_Pun_FH_Type,Yellow_Pun_FH_Type,Session_Duration,Blue_Mag,Yellow_Mag,Blue_Pun_Mag,Yellow_Pun_Mag,Changeover_Delay,Blackout_Duration,SD_Blue,SD_Yellow,SD_Blue_Pun,SD_Yellow_Pun,Schedule_Lights,Ding_Path,Womp_Path,Keyboard_Path
1,x,x,x,x,x,x,x,x,7.309573445,1.158489319,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
2,x,x,x,x,x,x,x,x,4.981071706,1.251188643,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
3,x,x,x,x,x,x,x,x,3.511886432,1.398107171,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
4,x,x,x,x,x,x,x,x,2.584893192,1.630957344,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
5,x,x,x,x,x,x,x,x,2,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
6,x,x,x,x,x,x,x,x,1.630957344,2.584893192,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
7,x,x,x,x,x,x,x,x,1.398107171,3.511886432,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
8,x,x,x,x,x,x,x,x,1.251188643,4.981071706,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
9,x,x,x,x,x,x,x,x,1.158489319,7.309573445,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,360,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
ACQ,x,x,x,x,x,x,x,x,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Progressive,Progressive,Regressive,Regressive,60,1,1,1,1,0.5,5,0.5,0.5,x,x,On,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ding,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/ha,C:/Users/SpinkC/OneDrive - Kennedy Krieger/Documents/PRESS-B/stimuli/Keyboard
